ID,HousePrice,yhat,delta
7857,919497.0,660072.2972680624,259424.70273193764
1641,283680.0,289177.7929764437,-5497.792976443714
3620,135818.0,166619.4946533369,-30801.494653336908
2820,468742.0,398384.28451047547,70357.71548952453
1572,311065.0,389518.4899596195,-78453.48995961947
202,228740.0,198964.59339845268,29775.40660154732
8169,260611.0,294784.6602290216,-34173.660229021625
6212,199843.0,210704.12894275767,-10861.12894275767
6754,273619.0,260715.37364563262,12903.626354367385
5197,334528.0,313213.8146918349,21314.18530816509
5170,371797.0,411610.51049034804,-39813.51049034804
3987,129547.0,124654.76735315607,4892.232646843928
8088,241878.0,193002.0131398495,48875.9868601505
1181,544164.0,503632.3739617062,40531.62603829382
5703,233936.0,248737.98668513412,-14801.986685134121
7979,340244.0,310809.29178199416,29434.708218005835
2546,673459.0,670056.0497525127,3402.950247487286
5831,219892.0,261525.2134259638,-41633.2134259638
2288,136479.0,178225.2614709318,-41746.261470931786
7372,284417.0,262588.54457176226,21828.455428237736
8553,401696.0,313633.7453586321,88062.25464136788
605,400036.0,503496.1557138086,-103460.1557138086
7343,502384.0,454250.34552863124,48133.65447136876
6956,432570.0,460794.69437750574,-28224.694377505744
6787,271336.0,208790.67410792474,62545.325892075256
8790,259581.0,283810.44718933845,-24229.447189338447
8875,368614.0,395641.25059223163,-27027.250592231634
5222,449834.0,440874.4668988776,8959.533101122419
6583,268084.0,249646.31523039402,18437.684769605985
4457,326357.0,410688.68794281315,-84331.68794281315
3798,513051.0,499357.11990558496,13693.880094415043
8692,484256.0,663018.1510235489,-178762.1510235489
9185,391848.0,499098.7214877868,-107250.7214877868
9170,289229.0,303536.6295907549,-14307.629590754921
6922,396836.0,580543.2495697736,-183707.24956977356
1816,299874.0,315679.8957778577,-15805.895777857688
889,453808.0,389502.65466081514,64305.34533918486
2315,197244.0,197667.9296204294,-423.9296204294078
3837,348815.0,331519.1229527244,17295.8770472756
8611,573658.0,570293.0438141219,3364.956185878138
5917,269948.0,237208.23188195447,32739.768118045526
6719,133645.0,110666.40868751115,22978.591312488847
5994,367737.0,463572.39086588315,-95835.39086588315
9266,252230.0,233527.0890751865,18702.910924813506
4038,104509.0,110147.09100402714,-5638.091004027141
2556,559989.0,429561.0490637214,130427.95093627862
3330,300314.0,334262.37493581837,-33948.37493581837
9027,112586.0,108427.708390415,4158.291609584994
486,225432.0,228535.0752944614,-3103.0752944613923
5064,421310.0,469407.74288811145,-48097.74288811145
3314,357001.0,317730.6816098021,39270.31839019788
3744,204498.0,224537.2844913062,-20039.2844913062
5128,346301.0,348038.0741178506,-1737.0741178506287
8075,467567.0,500779.01749931776,-33212.017499317764
1626,722563.0,495440.5846326314,227122.4153673686
5519,547190.0,661481.5677073202,-114291.56770732021
5771,309847.0,310550.4840914173,-703.4840914172819
1845,361572.0,292972.61357139144,68599.38642860856
3905,173822.0,198822.96684345056,-25000.96684345056
3335,315375.0,294000.7889939373,21374.211006062687
1027,153949.0,149949.79327695534,3999.2067230446555
8618,225252.0,184473.11250397048,40778.88749602952
7935,121715.0,128954.68730080612,-7239.687300806123
4478,543538.0,530295.1734347219,13242.826565278112
2515,338222.0,379112.010593025,-40890.010593025014
3447,159984.0,207905.6565982629,-47921.656598262896
3961,260012.0,307037.33788987447,-47025.33788987447
268,92160.0,103867.35095876537,-11707.350958765368
2075,244701.0,347106.5991173398,-102405.59911733982
5778,397709.0,320338.4316043344,77370.56839566561
4947,246083.0,309295.40190834814,-63212.40190834814
2216,308541.0,395211.84400090604,-86670.84400090604
8493,483930.0,532347.909289743,-48417.90928974305
4607,390569.0,354330.68559307605,36238.31440692395
2396,136502.0,162244.4887171997,-25742.48871719971
7620,303201.0,278092.7807001369,25108.219299863093
4459,443205.0,484239.61230997654,-41034.61230997654
8289,91960.0,102294.07754065587,-10334.077540655868
163,354225.0,294044.19708517595,60180.802914824046
8805,358049.0,320916.5010565056,37132.4989434944
552,237726.0,242246.69830777432,-4520.698307774321
4382,278715.0,260358.13461399614,18356.86538600386
7172,380327.0,364550.8248788831,15776.175121116918
9230,268497.0,242860.36643434566,25636.633565654338
2488,175443.0,187796.65044871517,-12353.650448715169
3146,234366.0,239121.18097177104,-4755.180971771042
7483,131104.0,150609.0015386639,-19505.0015386639
5621,70388.0,307433.88646551047,-237045.88646551047
9061,136715.0,144194.71876436332,-7479.718764363322
4088,300611.0,272716.9795339457,27894.020466054324
6314,84167.0,86505.47826132807,-2338.4782613280695
